description,unit,rate
For 48.60 mm outer dia pipe,Each,277.0
For 15 mm outer dia pipe,Each,598.0
For 22 mm outer dia pipe,Each,711.0
For 28 mm outer dia pipe,Each,825.0
For 35 mm outer dia pipe,Each,918.0
For 42 mm outer dia pipe,Each,1067.0
For 54 mm outer dia pipe,Each,1515.0
For 15.88 mm outer dia pipe,Each,100.0
For 22.22 mm outer dia pipe,Each,114.0
For 28.58 mm outer dia pipe,Each,164.0
For 34.00 mm outer dia pipe,Each,205.0
For 42.70 mm outer dia pipe,Each,222.0
For 48.60 mm outer dia pipe,Each,273.0
For 15 mm outer dia pipe,Each,484.0
For 22 mm outer dia pipe,Each,683.0
For 28 mm outer dia pipe,Each,911.0
For 35 mm outer dia pipe,Each,1494.0
For 42 mm outer dia pipe,Each,2419.0
For 54 mm outer dia pipe,Each,3201.0
For 22.22 mm x 15.88 mm outer dia pipe,Each,223.0
For 28.58 mm x 15.88 mm outer dia pipe,Each,304.0
For 28.58 mm x 22.22 mm outer dia pipe,Each,319.0
For 34.00 mm x 22.22 mm outer dia pipe,Each,427.0
For 34.00 mm x 28.58 mm outer dia pipe,Each,512.0
For 42.70 mm x 34.00 mm outer dia pipe,Each,555.0
For 15.88 mm outer dia pipe,Each,198.0
For 22.22 mm outer dia pipe,Each,300.0
For 28.58 mm outer dia pipe,Each,467.0
For 34.00 mm outer dia pipe.,Each,689.0
For 42.70 mm outer dia pipe,Each,1088.0
For 48.60 mm outer dia pipe,Each,1430.0
For 15 mm outer dia pipe,Each,797.0
For 22 mm outer dia pipe,Each,932.0
For 28 mm outer dia pipe,Each,1145.0
For 35 mm outer dia pipe,Each,1423.0
For 42 mm outer dia pipe,Each,1992.0
For 54 mm outer dia pipe,Each,2390.0
For 22.22 mm x 15.88 mm outer dia pipe,Each,269.0
For 28.58 mm x 15.88 mm outer dia pipe,Each,357.0
For 28.58 mm x 22.22 mm outer dia pipe,Each,363.0
For 34.00 mm x 15.88 mm outer dia pipe,Each,633.0
For 34.00 mm x 22.22 mm outer dia pipe,Each,654.0
For 34.00 mm x 28.58 mm outer dia pipe,Each,676.0
For 42.70 mm x 15.88 mm outer dia pipe,Each,1046.0
For 42.70 mm x 22.22 mm outer dia pipe,Each,1067.0
For 42.70 mm x 28.58 mm outer dia pipe,Each,1095.0
For 42.70 mm x 34.00 mm outer dia pipe,Each,1124.0
For 48.60 mm x 15.88 mm outer dia pipe,Each,1280.0
For 48.60 mm x 22.22 mm outer dia pipe,Each,1296.0
For 48.60 mm x 28.58 mm outer dia pipe,Each,1320.0
For 48.60 mm x 34.00 mm outer dia pipe,Each,1373.0
For 48.60 mm x 42.70 mm outer dia pipe,Each,1401.0
For 22 mm x 15 mm outer dia pipe,Each,911.0
For 28 mm x 15 mm outer dia pipe,Each,1131.0
For 28 mm x 22 mm outer dia pipe,Each,1138.0
For 35 mm x 15 mm outer dia pipe,Each,1430.0
For 35 mm x 22 mm outer dia pipe,Each,1437.0
For 35 mm x 28 mm outer dia pipe,Each,1451.0
For 42 mm x 22 mm outer dia pipe,Each,2013.0
For 42 mm x 28 mm outer dia pipe,Each,2034.0
For 42 mm x 35 mm outer dia pipe,Each,2049.0
For 54 mm x 22 mm outer dia pipe,Each,2390.0
For 54 mm x 28 mm outer dia pipe,Each,2447.0
For 54 mm x 35 mm outer dia pipe,Each,2468.0
For 54 mm x 42 mm outer dia pipe,Each,2497.0
For 15.88 mm outer dia x 15 mm nominal dia threaded,Each,292.0
For 22.22 mm outer dia x 15 mm nominal dia threaded,Each,334.0
For 22.22 mm outer dia x 20 mm nominal dia threaded,Each,356.0
For 28.58 mm outer dia x 15 mm nominal dia threaded,Each,448.0
For 28.58 mm outer dia x 20 mm nominal dia threaded,Each,462.0
For 28.58 mm outer dia x 25 mm nominal dia threaded,Each,477.0
For 34.00 mm outer dia x 15 mm nominal dia threaded,Each,662.0
For 34.00 mm outer dia x 20 mm nominal dia threaded,Each,676.0
For 34.00 mm outer dia x 25 mm nominal dia threaded,Each,704.0
For 34.00 mm outer dia x 32 mm nominal dia threaded,Each,733.0
For 42.70 mm outer dia x 15 mm nominal dia threaded,Each,1010.0
For 42.70 mm outer dia x 20 mm nominal dia threaded,Each,1031.0
For 42.70 mm outer dia x 25 mm nominal dia threaded,Each,1088.0
For 42.70 mm outer dia x 32 mm nominal dia threaded,Each,1131.0
For 42.70 mm outer dia x 40 mm nominal dia threaded,Each,1174.0
For 48.60 mm outer dia x 15 mm nominal dia threaded,Each,1416.0
For 48.60 mm outer dia x 20 mm nominal dia threaded,Each,1443.0
For 48.60 mm outer dia x 25 mm nominal dia threaded,Each,1458.0
For 48.60 mm outer dia x 32 mm nominal dia threaded,Each,1494.0
For 48.60 mm outer dia x 40 mm nominal dia threaded,Each,1536.0
For 48.60 mm outer dia x 50 mm nominal dia threaded,Each,1586.0
For 15.88 mm outer dia x 15 mm nominal dia threaded,Each,277.0
For 22.22 mm outer dia x 15 mm nominal dia threaded,Each,306.0
For 22.22 mm outer dia x 20 mm nominal dia threaded,Each,320.0
For 28.58 mm outer dia x 15 mm nominal dia threaded,Each,405.0
For 28.58 mm outer dia x 20 mm nominal dia threaded,Each,420.0
For 28.58 mm outer dia x 25 mm nominal dia threaded,Each,434.0
For 34.00 mm outer dia x 15 mm nominal dia threaded,Each,647.0
For 34.00 mm outer dia x 20 mm nominal dia threaded,Each,690.0
For 34.00 mm outer dia x 25 mm nominal dia threaded,Each,733.0
For 34.00 mm outer dia x 32 mm nominal dia threaded,Each,775.0
For 42.70 mm outer dia x 15 mm nominal dia threaded,Each,996.0
For 42.70 mm outer dia x 20 mm nominal dia threaded,Each,1010.0
For 42.70 mm outer dia x 25 mm nominal dia threaded,Each,1039.0
For 42.70 mm outer dia x 32 mm nominal dia threaded,Each,1067.0
For 42.70 mm outer dia x 40 mm nominal dia threaded,Each,1145.0
For 48.60 mm outer dia x 15 mm nominal dia threaded,Each,1288.0
For 48.60 mm outer dia x 20 mm nominal dia threaded,Each,1302.0
For 48.60 mm outer dia x 25 mm nominal dia threaded,Each,1323.0
For 48.60 mm outer dia x 32 mm nominal dia threaded,Each,1394.0
For 48.60 mm outer dia x 40 mm nominal dia threaded,Each,1430.0
For 48.60 mm outer dia x 50 mm nominal dia threaded,Each,1544.0
"For 15 mm outer dia x 1/2"" nominal dia threaded",each,889.0
"For 22 mm outer dia x 1/2"" nominal dia threaded",each,967.0
"For 22 mm outer dia x 3/4"" nominal dia threaded",each,1095.0
"For 28 mm outer dia x 1/2"" nominal dia threaded",each,1159.0
"For 28 mm outer dia x 3/4"" nominal dia threaded",each,1202.0
"For 28 mm outer dia x 1"" nominal dia threaded",each,1330.0
"For 35 mm outer dia x 1/2"" nominal dia threaded",each,1337.0
"For 35 mm outer dia x 1-1/4"" nominal dia threaded",each,1842.0
"For 42 mm outer dia x 1-1/4"" nominal dia threaded",each,2141.0
"For 54 mm outer dia x 1-1/2"" nominal dia threaded",each,3059.0
"For 54 mm outer dia x 2"" nominal dia threaded",each,3670.0
For 15.88 mm outer dia x 15 mm nominal dia threaded,Each,265.0
For 22.22 mm outer dia x 15 mm nominal dia threaded,Each,292.0
For 22.22 mm outer dia x 20 mm nominal dia threaded,Each,337.0
For 28.58 mm outer dia x 15 mm nominal dia threaded,Each,394.0
For 28.58 mm outer dia x 20 mm nominal dia threaded,Each,413.0
For 28.58 mm outer dia x 25 mm nominal dia threaded,Each,505.0
For 34.00 mm outer dia x 25 mm nominal dia threaded,Each,640.0
For 34.00 mm outer dia x 32 mm nominal dia threaded,Each,768.0
For 42.70 mm outer dia x 32 mm nominal dia threaded,Each,953.0
For 42.70 mm outer dia x 40 mm nominal dia threaded,Each,1003.0
For 48.60 mm outer dia x 40 mm nominal dia threaded,Each,1288.0
For 48.60 mm outer dia x 50 mm nominal dia threaded,Each,1387.0
"For 15 mm outer dia x 1/2"" nominal dia threaded",each,697.0
"For 22 mm outer dia x 1/2"" nominal dia threaded",each,782.0
"For 22 mm outer dia x 3/4"" nominal dia threaded",each,918.0
"For 28 mm outer dia x1"" nominal dia threaded",each,1515.0
"For 35 mm outer dia x 1-1/4"" nominal dia threaded",each,1622.0
"For 42 mm outer dia x1-1/2"" nominal dia threaded",each,2490.0
"For 54 mm outer dia x 2"" nominal dia threaded",each,3820.0
For 15.88 mm outer dia x 15 mm nominal dia threaded,Each,250.0
For 22.22 mm outer dia x 15 mm nominal dia threaded,Each,269.0
For 22.22 mm outer dia x 20 mm nominal dia threaded,Each,300.0
For 28.58 mm outer dia x 20 mm nominal dia threaded,Each,458.0
For 28.58 mm outer dia x 25 mm nominal dia threaded,Each,461.0
For 34.00 mm outer dia x 25 mm nominal dia threaded,Each,676.0
For 34.00 mm outer dia x 32 mm nominal dia threaded,Each,804.0
For 42.70 mm outer dia x 32 mm nominal dia threaded,Each,1017.0
For 42.70 mm outer dia x 40 mm nominal dia threaded,Each,1039.0
For 48.60 mm outer dia x 40 mm nominal dia threaded,Each,1330.0
For 48.60 mm outer dia x 50 mm nominal dia threaded,Each,1622.0
"For 15 mm outer dia x 1/2"" nominal dia threaded",each,640.0
"For 22 mm outer dia x 1/2"" nominal dia threaded",each,761.0
"For 22 mm outer dia x 3/4"" nominal dia threaded",each,804.0
"For 28 mm outer dia x1"" nominal dia threaded",each,1053.0
"For 35 mm outer dia x 1-1/4"" nominal dia threaded",each,1544.0
"For 42 mm outer dia x1-1/2"" nominal dia threaded",each,2248.0
"For 54 mm outer dia x 2"" nominal dia threaded",each,3016.0
For 15.88 mm outer dia x 15 mm nominal dia threaded,Each,317.0
For 22.22 mm outer dia x 15 mm nominal dia threaded,Each,364.0
For 22.22 mm outer dia x 20 mm nominal dia threaded,Each,396.0
For 28.58 mm outer dia x 25 mm nominal dia threaded,Each,605.0
For 34.00 mm outer dia x 32 mm nominal dia threaded,Each,918.0
For 42.70 mm outer dia x 40 mm nominal dia threaded,Each,1299.0
For 48.60 mm outer dia x 50 mm nominal dia threaded,Each,1757.0
For 15.88 mm outer dia x 15 mm nominal dia threaded,Each,270.0
For 22.22 mm outer dia x 15 mm nominal dia threaded,Each,306.0
For 22.22 mm outer dia x 20 mm nominal dia threaded,Each,341.0
For 28.58 mm outer dia x 25 mm nominal dia threaded,Each,370.0
For 34.00 mm outer dia x 32 mm nominal dia threaded,Each,477.0
For 42.70 mm outer dia x 32 mm nominal dia threaded,Each,754.0
For 42.70 mm outer dia x 40 mm nominal dia threaded,Each,754.0
For 48.60 mm outer dia x 40 mm nominal dia threaded,Each,1124.0
For 48.60 mm outer dia x 50 mm nominal dia threaded,Each,1124.0
"For 15 mm outer dia x 1/2"" nominal dia threaded",each,1017.0
"For 22 mm outer dia x 3/4"" nominal dia threaded",each,1366.0
"For 28 mm outer dia x 1"" nominal dia threaded",each,1878.0
"For 35 mm outer dia x1-1/4"" nominal dia threaded",each,3052.0
"For 42 mm outer dia x 1-1/2"" nominal dia threaded",each,3322.0
"For 54 mm outer dia x 2"" nominal dia threaded",each,5136.0
For 15.88 mm outer dia x 15 mm nominal dia threaded,Each,326.0
For 22.22 mm outer dia x 15 mm nominal dia threaded,Each,356.0
For 22.22 mm outer dia x 20 mm nominal dia threaded,Each,377.0
For 28.58 mm outer dia x 25 mm nominal dia threaded,Each,405.0
For 34.00 mm outer dia x 25 mm nominal dia threaded,Each,448.0
For 34.00 mm outer dia x 32 mm nominal dia threaded,Each,448.0
For 42.70 mm outer dia x 32 mm nominal dia threaded,Each,683.0
For 42.70 mm outer dia x 40 mm nominal dia threaded,Each,754.0
For 48.60 mm outer dia x 40 mm nominal dia threaded,Each,1088.0
For 48.60 mm outer dia x 50 mm nominal dia threaded,Each,1188.0
"For 15 mm outer dia x 1/2"" nominal dia threaded",each,832.0
"For 22 mm outer dia x 3/4"" nominal dia threaded",each,1252.0
"For 28 mm outer dia x 1"" nominal dia threaded",each,1665.0
"For 35 mm outer dia x1-1/4"" nominal dia threaded",each,2290.0
"For 42 mm outer dia x 1-1/2"" nominal dia threaded",each,4197.0
"For 54 mm outer dia x 2"" nominal dia threaded",each,4773.0
For 15.88 mm outer dia pipe,Each,58.0
For 22.22 mm outer dia pipe,Each,85.0
For 28.58 mm outer dia pipe,Each,122.0
For 34.00 mm outer dia pipe,Each,235.0
For 42.70 mm outer dia pipe,Each,343.0
For 48.60 mm outer dia pipe,Each,427.0
For 15 mm outer dia pipe,each,505.0
For 22 mm outer dia pipe,each,654.0
For 28 mm outer dia pipe,each,818.0
For 35 mm outer dia pipe,each,1145.0
For 42 mm outer dia pipe,each,2490.0
For 54 mm outer dia pipe,each,2739.0
For 15.88 mm outer dia pipe,Each,137.0
For 22.22 mm outer dia pipe,Each,240.0
For 28.58 mm outer dia pipe,Each,387.0
For 15 mm outer dia pipe,each,654.0
For 22 mm outer dia pipe,each,1764.0
For 28 mm outer dia pipe,each,2426.0
"For 15 mm outer dia x 1/2"" nominal dia threaded",each,1408.0
"For 22 mm outer dia x 1/2"" nominal dia threaded",each,1423.0
"For 22 mm outer dia x 3/4"" nominal dia threaded",each,1629.0
"For 28 mm outer dia x1"" nominal dia threaded",each,2874.0
"For 35 mm outer dia x 1-1/4"" nominal dia threaded",each,3002.0
"For 42 mm outer dia x1-1/2"" nominal dia threaded",each,3386.0
"For 54 mm outer dia x 2"" nominal dia threaded",each,5861.0
"For 22 mm outer dia x 3/4"" nominal dia threaded",each,1508.0
"For 28 mm outer dia x 1"" nominal dia threaded",each,2034.0
"For 15 mm outer dia x 1/2"" nominal dia threaded",each,1031.0
"For 22 mm outer dia x 1/2"" nominal dia threaded",each,1380.0
"For 22 mm outer dia x 3/4"" nominal dia threaded",each,1430.0
100 mm dia.,One Running Metre,444.0
150 mm dia.,One Running Metre,696.0
200 mm dia.,One Running Metre,970.0
230 mm dia.,One Running Metre,1506.0
250 mm dia.,One Running Metre,2064.0
100 mm dia.,One Running Metre,965.0
150 mm dia.,One Running Metre,1180.0
200 mm dia.,One Running Metre,1375.0
230 mm dia.,One Running Metre,1591.0
100 mm dia.,One Running Metre,459.0
150 mm dia.,One Running Metre,743.0
200 mm dia.,One Running Metre,874.0
230 mm dia.,One Running Metre,1017.0
250 mm dia.,One Running Metre,1173.0
With F.P.S. bricks.,Each,2708.0
With Sewer bricks IS: 4885.,Each,2685.0
With F.P.S. bricks.,Each,2734.0
With Sewer bricks IS: 4885.,Each,2712.0
With F.P.S. bricks.,Each,2802.0
With Sewer bricks IS: 4885.,Each,2780.0
100 mm diameter.,One Running Metre,89.0
150 mm diameter.,One Running Metre,98.0
200 mm diameter.,One Running Metre,105.0
230 mm diameter.,One Running Metre,111.0
250 mm diameter.,One Running Metre,117.0
300 mm diameter.,One Running Metre,135.0
350 mm diameter.,One Running Metre,148.0
400 mm diameter.,One Running Metre,154.0
100 mm dia RCC pipe .,One Running Metre,507.0
150 mm dia RCC pipe .,One Running Metre,556.0
250 mm dia RCC pipe .,One Running Metre,900.0
300 mm dia RCC pipe .,One Running Metre,994.0
450 mm dia RCC pipe .,One Running Metre,1621.0
500 mm dia RCC pipe .,One Running Metre,1919.0
600 mm dia RCC pipe .,One Running Metre,2243.0
700 mm dia RCC pipe .,One Running Metre,2933.0
800 mm dia.,One Running Metre,3512.0
900 mm dia.,One Running Metre,4751.0
1000 mm dia.,One Running Metre,5563.0
1100 mm dia.,One Running Metre,6277.0
1200 mm dia.,One Running Metre,7102.0
with FPS bricks class designation 7.5.,Each,12771.0
With Sewer bricks IS: 4885.,Each,12712.0
with FPS bricks class 75,Each,26406.0
With Sewer bricks conforming to IS : 4885.,Each,26245.0
with FPS bricks class 75,Each,32858.0
With sewer bricks IS: 4885.,Each,32720.0
with FPS bricks.,One Running Metre,8825.0
With sewer bricks IS : 4885.,One Running Metre,8654.0
with F.P.S. bricks .,One Running Metre,10586.0
With sewer bricks IS : 4885.,One Running Metre,10381.0
With bricks of class designation 7.5.,Each,12725.0
With sewer bricks IS: 4885.,Each,12600.0
with bricks of class designation 7.5.,One Running Metre,7592.0
With sewer brick IS : 4885.,One Running Metre,7448.0
With bricks of class designation 7.5.,Each,24703.0
With sewer bricks IS: 4885.,Each,24447.0
With Sewer bricks conforming IS : 4885,One Running Metre,9674.0
With bricks of class designation 7.5.,Each,52969.0
With sewer bricks IS: 4885.,Each,52267.0
With bricks of class designation 7.5.,One Running Metre,22772.0
With sewer bricks IS: 4885.,One Running Metre,22288.0
with 20 x 20 mm square bar.,Each,545.0
With 20 mm dia. round bar.,Each,497.0
Providing orange colour safety foot rest of minimum 6mm thick plastic encapsulated as per IS : 10910 on 12 mm dia steel bar conforming to IS : 1786.,Each,554.0
With 20 x 20 mm square bar.,Each,670.0
With 20 mm diameter round bar.,Each,622.0
455 x 610 mm CI cover (LD),Each,1358.0
500 mm dia CI cover (MD) cover not less than 58 Kg,Each,3441.0
560 mm dia CI cover (HD) cover not less than 108 Kg,Each,7575.0
Rectangular shape 600x450 mm internal dimensions.,Each,1438.0
Square shape 350 mm internal dimensions.,Each,1155.0
Circular shape 450 mm internal diameter.,Each,1170.0
Square shape 500 mm internal dimension.,Each,1387.0
Circular shape 500 mm internal diameter.,Each,1173.0
Circular shape 560 mm internal diameter.,Each,1676.0
Circular shape 560 mm internal dia.,Each,2124.0
S/F CI cover 300x300mm w/o frame for gully trap.,Each,787.0
For pipes 100 to 230 mm dia.,Each,810.0
For pipes 250 to 300 mm dia.,Each,922.0
For pipes 350 to 450 mm dia.,Each,1328.0
100 mm dia. sand cast iron drop connection.,Each,12172.0
150 mm dia. sand cast iron drop connection.,Each,16578.0
For 100 mm dia. sand cast iron drop connection.,One Running Metre,3240.0
For 150 mm dia. sand cast iron drop connection.,One Running Metre,4127.0
Rectangular manhole 90x80cm and 45 cm deep.,Each,2541.0
Rectangular manhole 120x90cm and 90 cm deep.,Each,4476.0
Rectangular arch type man hole 140 x 90 cm and 2.45 mtr deep.,Each,8466.0
Circular manhole 122 cm dia. and 1.68 M deep.,Each,6472.0
Rectangular manhole 90x80 cm and 45 cm deep.,One Running Metre,2046.0
Rectangular manhole 120x90 cm and 90 cm deep.,One Running Metre,2437.0
Rectangular arch type manhole 140 x 90 cm and 2.45 m deep (upto 4.25 m depth).,One Running Metre,1976.0
Circular manhole 122 cm dia and 1.68 M deep (upto 2.29 M depth).,One Running Metre,2229.0
Rectangular manhole 90x80 cm with rectangular cover 600 x 450 mm of grade LD - 2.5 .,Each,2626.0
Rectangular manhole 120x90cm with circular cover 500 mm dia of grade MD-10.,Each,4168.0
Rectangular manhole 120x90cm with circular cover 560 mm dia of grade HD-20.,Each,3882.0
Circular manhole 140 cm dia. with circular cover 600 mm dia. of grade EHD - 35.,Each,320.0
With F.P.S. bricks.,Each,5958.0
With F.P.S bricks.,Each,6890.0
With F.P.S. bricks.,Each,11521.0
With F.P.S. bricks.,Each,6938.0
With F.P.S. bricks.,Each,8151.0
With F.P.S. bricks.,Each,9594.0
With F.P.S. bricks.,One Running Metre,6681.0
With F.P.S. bricks.,One Running Metre,7790.0
With FPS bricks,Each,26862.0
Constructing soak pit 1.20x 1.20x1.20 m,Each,2890.0
100 mm dia.,Each,441.0
150 mm dia.,Each,603.0
450 mm dia RCC pipes.,One Running Metre,2677.0
600 mm dia RCC pipes.,One Running Metre,3401.0
900 mm dia RCC pipes.,One Running Metre,5377.0
1000 mm dia RCC pipes. (Laying by mannual/machenical means),One Running Metre,6657.0
1200 mm dia RCC pipes. (Laying by mannual/machenical means),One Running Metre,9126.0
1800 mm dia RCC pipes. (Laying by mannual/machenical means),One Running Metre,16184.0
450 mm dia RCC pipes.,One Running Metre,3054.0
600 mm dia RCC pipes.,One Running Metre,3935.0
900 mm dia RCC pipes.,One Running Metre,7397.0
1000 mm dia RCC pipes. (Laying by mannual/machenical means),One Running Metre,9182.0
1200 mm dia RCC pipes. (Laying by mannual/machenical means),One Running Metre,11119.0
1800 mm dia RCC pipes. (Laying by mannual/machenical means),One Running Metre,22579.0
400 mm dia. piles.,One Running Metre,2767.0
450 mm dia. piles.,One Running Metre,3431.0
500 mm dia. piles.,One Running Metre,4130.0
550 mm dia. piles.,One Running Metre,4531.0
750 mm dia. piles.,One Running Metre,7739.0
1000 mm dia. piles.,One Running Metre,12748.0
1200 mm dia. piles.,One Running Metre,16671.0
1500 mm dia piles.,One Running Metre,23578.0
450 mm dia piles,One Running Metre,2278.0
500mm dia piles,One Running Metre,2703.0
450 mm dia. piles.,One Running Metre,3637.0
500 mm dia. piles.,One Running Metre,5581.0
600 mm dia piles.,One Running Metre,5386.0
750 mm dia piles.,One Running Metre,7759.0
1000 mm dia piles.,One Running Metre,12991.0
1200 mm dia piles.,One Running Metre,17026.0
1500 mm dia piles.,One Running Metre,24409.0
300 mm dia. piles.,One Running Metre,3066.0
400 mm dia piles.,One Running Metre,3797.0
450 mm dia piles.,One Running Metre,4233.0
550 mm dia pils.,One Running Metre,4721.0
300 mm dia. piles.,Each,2626.0
400 mm dia. piles.,Each,2924.0
450 mm dia. piles.,Each,3104.0
550 mm dia. piles.,Each,3360.0
400 mm dia.,One Running Metre,3728.0
450 mm dia.,One Running Metre,4766.0
500 mm dia.,One Running Metre,4931.0
550 mm dia.,One Running Metre,5633.0
750 mm dia. piles.,One Running Metre,10847.0
1000 mm dia. piles.,One Running Metre,14946.0
Upto 50 ton capacity pile.,Per Test,54772.0
Above 50 and upto 100 tonne capacity pile.,Per Test,19632.0
Upto 50 tonne capacity pile.,Per Test,61173.0
Above 50 and upto 100 tonne capacity pile routine test.,Per Test,32436.0
Upto 50 tonne capacity rate per test for initial test.,Per Test,70421.0
Routine test,Per Test,40545.0
Upto 50 ton capacity pile.,Per Test,19632.0
Above 50 and upto 100 tonne capacity pile.,Per Test,32436.0
Upto 50 tonne capacity each.,Per Test,40545.0
Upto 50 tonne capacity pile.,Per Test,19632.0
Above 50 and upto 100 tonne capacity piles.,Per Test,32863.0
Anodised Aluminium.,One Kilogram,495.0
Powder coated aluminium,One Kilogram,531.0
Polyester Powder coated aluminium,One Kilogram,540.0
Anodised Aluminium,One Kilogram,599.0
Powder coated aluminium,One Kilogram,634.0
Polyester Powder coated aluminium,One Kilogram,643.0
with decorative lamination one side and balancing lami- nation on other side .,One Square Metre,1139.0
with decorative lamination on both side .,One Square Metre,1115.0
With glass panes 4 mm thick.,One Square Metre,1177.0
With glass panes 5.5mm thick.,One Square Metre,1505.0
With glass panes 8 mm thick.,One Square Metre,1685.0
With Stainless steel cover plate.,Each,2824.0
With brass cover plate.,Each,2966.0
"P/F powder coated aluminium work in false ceiling with aluminium tees, angles",One Kilogram,817.0
P/F 6 mm dia GI level adjusting hangers.,Each,82.0
Anodised aluminium sheet 2.5 mm thick.,One Kilogram,681.0
Powder coated aluminium sheet 2.5 mm thick.,One Kilogram,716.0
"Upto 5 mm depth, 5 mm width.",One Running Metre,97.0
For fixed portion.,One Kilogram,13.0
"For shutter of doors, windows and ventilators.",One Kilogram,13.0
"P/F double glazed hermetically sealed glazing in aluminium windows, ventilatorsm partition etc with 6mm thick clear float glass",One Square Metre,4998.0
205 x 19 mm.,Each,344.0
255 x 19 mm.,Each,387.0
355 x 19 mm.,Each,326.0
510 x 19 mm.,Each,802.0
710 x 19 mm.,Each,1478.0
Anodized Aluminium tubular,Each,576.0
Powder coated Aluminium tubular,Each,632.0
Polyester Powder coated Aluminium tubular,Each,646.0
P/F 100 mm brass locks for aluminium doors.,Each,529.0
P/F anodised aluminium sub frame work for windows and ventilators,One Kilogram,403.0
Anodized Aluminium.,Each,89.0
Powder coated Aluminium.,Each,98.0
Polyester Powder coated Aluminium,Each,95.0
Anodized Aluminium.,Each,108.0
Powder coated Aluminium.,Each,109.0
Polyester Powder coated Aluminium,Each,112.0
P/F American type handles of 125 mm dia...,One Kilogram,638.0
P/F 12 mm thick frameless toughened glass door shutter,One Square Metre,5326.0
Upto 5mm depth and 5 mm width,One Running Metre,148.0
Upto 10 mm depth and 10 mm width,One Running Metre,201.0
Upto 20 mm depth and 20 mm width,One Running Metre,363.0
Using rough kota stone.,One Square Metre,1516.0
Using rough kota stone.,One Square Metre,2025.0
"Serrated with central bulb (225 mm wide, 8-11mm thick).",One Running Metre,328.0
"Dumb bell with central bulb (180 mm wide, 8 mm thick).",One Running Metre,268.0
"Kickers (320 mm wide, 5 mm thick).",One Running Metre,264.0
With average thickness 120 mm and min. at khurra as 65 mm.,One Square Metre,1685.0
bitumen felt (hessian base) type 3 grade I.,One Square Metre,515.0
P/L Six courses water proof- ing treatment with bitumen felt ( hession base ) type 3 grade I .,One Square Metre,806.0
P/L six courses water proofing treatment with bitumen felt (fibre base self finished bitumen felt).,One Square Metre,911.0
P/L six cours water proofing treatment with bitumen felt (glass fibre base self fini- shed bitumen felt).,One Square Metre,911.0
Supplying and applying bitum- enous solution primer on roof,One Square Metre,59.0
C.C 1 : 2 : 4 .,One Cubic Metre,8042.0
C.M 1 : 3 coarse sand.,One Cubic Metre,16112.0
C.M 1 : 4 coarse sand.,One Cubic Metre,15156.0
P/A fibre reinforced elastomeric liquid water proofing membrane with resilient acrylic polymers having Sun Reflectivity Index (SRI) of 105..,One Square Metre,563.0
For vertical surface two coats @ 0.70 kg per sqm,One Square Metre,473.0
For horizontal surface one coat @1.10 kg per sqm.,One Square Metre,363.0
"P/A polymer modified, flexible cementatious negative side waterproofing coating with elastic waterproofing polymers on interior wall plaster surface in three coats",One Square Metre,447.0
P/A integral crystalline (dry shake) of hydrophilic in nature for waterproofing treatment to the RCC structures,One Square Metre,310.0
P/A high quality acrylic modified resin based texture of Dholpur/Red sand stone Pattern with anti algae and UV resistance properties..,One Square Metre,597.0
"For sealing cracks and faulty construction joints, routed out/making U-shape groove size 25x25mm",One Running Metre,548.0
"For patching of tie rod holes, prepared tie rod hole surface and then primed the area with integral crystalline slurry",Each Hole,23.0
"P/A swellable type water stop tape, 19mm x 25mm thick in linear meter (expansive nature) for construction joints treatment of RCC structure",One Running Metre,573.0
300 mm dia,One Metre,708.0
350 mm dia,One Metre,774.0
400 mm dia,One Metre,991.0
300 mm dia,One Metre,1695.0
350 mm dia,One Metre,1793.0
400 mm dia,One Metre,2131.0
300 mm dia,One Metre,826.0
350 mm dia,One Metre,917.0
400 mm dia,One Metre,1239.0
300 mm dia,One Metre,1871.0
350 mm dia,One Metre,1956.0
400 mm dia,One Metre,2497.0
100 mm nominal size dia,One Metre,672.0
150 mm nominal size dia,One Metre,793.0
200 mm nominal size dia,One Metre,1113.0
100 mm nominal size dia,One Metre,687.0
150 mm nominal size dia,One Metre,807.0
200 mm nominal size dia,One Metre,1256.0
"S/F/S/L stone boulders of size range 5 cm to 20 cm, in recharge pit",One Cubic Metre,1510.0
"SFSL gravels of size range 5 mm to 10 mm, in the recharge pit",One Cubic Metre,1538.0
SFSL coarse sand of size range 1.5 mm to 2 mm in recharge pit,One Cubic Metre,1538.0
Gravel packing in tubewell construction in accordance with IS: 4097,One Cubic Metre,2025.0
P/F factory made precast RCC perforated drain covers,Each,1400.0
100 mm nominal size dia having minimum wall thickness 5.00 mm,One Metre,1359.0
150 mm nominal size dia having minimum wall thickness 5.00 mm,One Metre,1972.0
200 mm nominal size dia having minimum wall thickness 5.40 mm,One Metre,2443.0
100 mm nominal size dia,One Metre,1457.0
150 mm nominal size dia,One Metre,2102.0
200 mm nominal size dia,One Metre,2571.0
"Development of tube well in accordance with IS : 2800 (part I) and IS:11189, to establish maximum rate of usable water yield",One Hour,1085.0
100 mm dia,Each,224.0
150 mm dia,Each,246.0
200 mm dia,Each,321.0
100 mm clamp,Each,1911.0
150 mm clamp,Each,2019.0
200 mm clamp,Each,2294.0
100 mm dia,Each,265.0
150 mm dia,Each,322.0
200 mm dia,Each,358.0
